0426 uni0426.smcp         # CYRILLIC CAPITAL LETTER TSE
0427 uni0427.smcp         # CYRILLIC CAPITAL LETTER CHE
0428 uni0428.smcp         # CYRILLIC CAPITAL LETTER SHA
0429 uni0429.smcp         # CYRILLIC CAPITAL LETTER SHCHA
042A uni042A.smcp         # CYRILLIC CAPITAL LETTER HARD SIGN
042B uni042B.smcp         # CYRILLIC CAPITAL LETTER YERU
042C uni042C.smcp         # CYRILLIC CAPITAL LETTER SOFT SIGN
042D uni042D.smcp         # CYRILLIC CAPITAL LETTER E
042E uni042E.smcp         # CYRILLIC CAPITAL LETTER YU
042F uni042F.smcp         # CYRILLIC CAPITAL LETTER YA
0490 uni0490.smcp         # CYRILLIC CAPITAL LETTER GHE WITH UPTURN
1E80 Wgrave.smcp          # LATIN CAPITAL LETTER W WITH GRAVE
1E82 Wacute.smcp          # LATIN CAPITAL LETTER W WITH ACUTE
1E84 Wdieresis.smcp       # LATIN CAPITAL LETTER W WITH DIAERESIS
1E9E Germandbls.smcp      # LATIN CAPITAL LETTER SHARP S
1EF2 Ygrave.smcp          # LATIN CAPITAL LETTER Y WITH GRAVE
