043E uni041E.smcp         # CYRILLIC SMALL LETTER O
043F uni041F.smcp         # CYRILLIC SMALL LETTER PE
0440 uni0420.smcp         # CYRILLIC SMALL LETTER ER
0441 uni0421.smcp         # CYRILLIC SMALL LETTER ES
0442 uni0422.smcp         # CYRILLIC SMALL LETTER TE
0443 uni0423.smcp         # CYRILLIC SMALL LETTER U
0444 uni0424.smcp         # CYRILLIC SMALL LETTER EF
0445 uni0425.smcp         # CYRILLIC SMALL LETTER HA
0446 uni0426.smcp         # CYRILLIC SMALL LETTER TSE
0447 uni0427.smcp         # CYRILLIC SMALL LETTER CHE
0448 uni0428.smcp         # CYRILLIC SMALL LETTER SHA
0449 uni0429.smcp         # CYRILLIC SMALL LETTER SHCHA
044A uni042A.smcp         # CYRILLIC SMALL LETTER HARD SIGN
044B uni042B.smcp         # CYRILLIC SMALL LETTER YERU
044C uni042C.smcp         # CYRILLIC SMALL LETTER SOFT SIGN
044D uni042D.smcp         # CYRILLIC SMALL LETTER E
044E uni042E.smcp         # CYRILLIC SMALL LETTER YU
044F uni042F.smcp         # CYRILLIC SMALL LETTER YA
0451 uni0401.smcp         # CYRILLIC SMALL LETTER IO
0452 uni0402.smcp         # CYRILLIC SMALL LETTER DJE
0453 uni0403.smcp         # CYRILLIC SMALL LETTER GJE
0454 uni0404.smcp         # CYRILLIC SMALL LETTER UKRAINIAN IE
0455 uni0405.smcp         # CYRILLIC SMALL LETTER DZE
0456 uni0406.smcp         # CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0457 uni0407.smcp         # CYRILLIC SMALL LETTER YI
0458 uni0408.smcp         # CYRILLIC SMALL LETTER JE
0459 uni0409.smcp         # CYRILLIC SMALL LETTER LJE
045A uni040A.smcp         # CYRILLIC SMALL LETTER NJE
045B uni040B.smcp         # CYRILLIC SMALL LETTER TSHE
045C uni040C.smcp         # CYRILLIC SMALL LETTER KJE
045E uni040E.smcp         # CYRILLIC SMALL LETTER SHORT U
045F uni040F.smcp         # CYRILLIC SMALL LETTER DZHE
0491 uni0490.smcp         # CYRILLIC SMALL LETTER GHE WITH UPTURN
1E81 Wgrave.smcp          # LATIN SMALL LETTER W WITH GRAVE
1E83 Wacute.smcp          # LATIN SMALL LETTER W WITH ACUTE
1E85 Wdieresis.smcp       # LATIN SMALL LETTER W WITH DIAERESIS
1EF3 Ygrave.smcp          # LATIN SMALL LETTER Y WITH GRAVE
